text_stopword,text_akhir,label
"['kim', 'yo', 'jong', 'prettiest', 'cow', 'barn']",kim yo jong prettiest cow barn,-1
"['crazy', 'way', 'clap', 'hands', 'kim']",crazy way clap hands kim,-1
"['filling', 'daily', 'claps', 'form', 'report']",filling daily claps form report,0
"['kim', 'jong', 'nam', 'assassins', 'fooled', 'know', 'done']",kim jong nam assassins fooled know done,0
"['god', 'bless', 'cameramen', 'risking', 'lives', 'film', 'traitor', 'kim', 'jong', 'un', 'want', 'us', 'see']",god bless cameramen risking lives film traitor kim jong un want us see,0
"['brother', 'made', 'terrible', 'mistake', 'living', 'asia', 'united', 'states']",brother made terrible mistake living asia united states,-1
"['bet', 'horse', 'killed', 'riding', 'fast', 'enough']",bet horse killed riding fast enough,0
"['think', 'built', 'like', 'penguin', 'prerequisite', 'dear', 'leader', 'sister', 'legitimately', 'terrifying']",think built like penguin prerequisite dear leader sister legitimately terrifying,-1
"['like', 'use', 'godfather', 'analogy', 'find', 'kim', 'jong', 'nam', 'basically', 'fredo']",like use godfather analogy find kim jong nam basically fredo,0
"['laughs', 'north', 'korea']",laughs north korea,0
"['understand', 'problem', 'us', 'test', 'missile', 'means', 'nothing', 'others', 'terrorist', 'let', 'live', 'way', 'stop', 'poking', 'nose', 'matters', 'open', 'minded', 'people']",understand problem us test missile means nothing others terrorist let live way stop poking nose matters open minded people,0
"['guy', 'took', 'throne', 'early']",guy took throne early,0
"['watch', 'seems', 'like', 'america', 'agressor', 'parties', 'want', 'party', 'want', 'control', 'party', 'telling', 'hello', 'america', 'know', 'making', 'worse', 'kicking', 'baby', 'grizzly', 'mom', 'standings', 'next', 'everyone', 'see', 'dangerous', 'still']",watch seems like america agressor parties want party want control party telling hello america know making worse kicking baby grizzly mom standings next everyone see dangerous still,-1
"['well', 'well', 'humpty', 'dumpty']",well well humpty dumpty,0
['dork'],dork,0
"['bravo', 'natgeo', 'making', 'documentary']",bravo natgeo making documentary,0
"['happens', 'us', 'president', 'well', 'many', 'others']",happens us president well many others,1
"['kim', 'jong', 'un', 'aunt', 'unbelievable', 'whining', 'never', 'say', 'anything', 'good', 'mass', 'murderer', 'say', 'anything', 'good', 'god', 'someone', 'delusional']",kim jong un aunt unbelievable whining never say anything good mass murderer say anything good god someone delusional,1
"['guy', 'red', 'velvety', 'shirt', 'sources', 'trust', 'bro']",guy red velvety shirt sources trust bro,0
[],,0
"['hate', 'treats', 'people']",hate treats people,-1
