text_akhir,label
highest leader ruins lives people,-1
bern switzerland must terrible place considering people allow children eat bern statue,-1
th largest military yes okay sure,1
kim yo jong beautiful cow warehouse,1
crazy way clap kim,-1
fill daily pat report,0
poisonous nonsense,-1
killer kim jong nam fooled know done,-1
god bless cameramen risking lives film traitors kim jong un want see,1
brother made big mistake lived asia united states,1
sure killed horse fast enough,-1
alright looks like girl dead,-1
think built like penguin prerequisite beloved leader sister legally frightening,1
like use analogy baptist father know kim jong nam basically fredo,1
kim yo jong bit hot,0
laughing north korea,1
understand problems test missile meaningless unless people terrorists let live way stop poking nose things open minded person,-1
men took throne early,0
watched seems america aggressor parties thing thing want one party wants control parties tell halo america know worse,1
alright yeah humpty dumpty,1
stupid,-1
bravo natgeo making documentary,0
happened us president well many others,1
aunt kim jong un could trusted whining never said something good mass killer say something good oh god someone delusion,-1
peach,0
project become piracy,0
men red velvet shirt source believe bro,0
hate treats people,-1
poor horse,-1
malang horse horse year old looked kim jong un kilo gram poor horse,-1
malang horse kim jong un pound,0
never saw pig horse,0
leveling solo,0
brilliant beautiful,1
real madrid fans,0
rides horse funny,1
wondered reporter still alive,1
come channel representative men film video korea said take photos filmed directly,0
billion get information one sells price,0
modern lies adjusting,-1
applauded ever thought might cursed shows,1
gila,0
weak regime fall within days internet enters country dictator last long,-1
became fat person n korea cause suspicion starving population,-1
knowing bern accept student,1
albania exact form command something must end one right decide fate others direct,0
puncak delusi,0
group people brainwritten,0
japan trump side relieved talking lost path,1
dictators obsessions seen riding horse need learned,-1
hi darling hope fine save sheep zubair khan marketing careful,1
many advertisements video c ntent makes frustration better,-1
god good,1
kim worse father grandfather know people think possibility change anything make people think takes years,-1
kim young one difficult cakes,-1
addition slandering kim yo jung,0
looking political asylum live synonyms running dry cleaners,0
blame past one rules blame child parents,-1
clapping never clap hands lives,0
women know exactly least know joke,1
propaganda communists,-1
beautiful fat boy,1
oh korean people want expect day get rid american empire capitalism live heaven,1
people starving look like swollen lice,-1
one buy documentary ppl try everything discredit others leave others leave happens country rot corruption country discussed talk bad mr kim africa love nk go stupid law deal,-1
sister worry,-1
nex gen,0
th largest military,0
man died oil nerve agent could girls disadvantaged hands,-1
